Category,Question,"Question Image","Explanation Image",Explanation,"Option 1","Option 2","Option 3","Option 4",Answer
"LO2: 2.3:Define the factors that influence provision","What traffic control equipment should be used for very short periods when manoeuvring plant or works vehicles on a low risk site?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Portable traffic signals","Stop works sign","Stop and go boards","Priority signs",2
"LO2: 2.3:Define the factors that influence provision","What equipment should be used to assist visually impaired people using an obstructed footway?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Footway ramps","Pedestrian barriers with a tapping rail","Traffic cones and warning lights","Temporary excavation covers",2
"LO2: 2.3:Define the factors that influence provision","On a site, what is the minimum clearance between a works vehicle and the works area on a 40mph road?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"2 metres","3 metres","4 metres","5 metres",4
"LO2: 2.4: State how to minimise disruption to and ensure the safety of vehicular traffic","What is the main factor to consider when selecting temporary traffic control?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Type of traffic","Speed of road","Traffic flow","Type of road",3
"LO2: 2.4: State how to minimise disruption to and ensure the safety of vehicular traffic","When using temporary traffic lights, what is the All Red time for a site length of 160m?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"10 seconds","15 seconds","20 seconds","25 seconds",3
"LO2: 2.4: State how to minimise disruption to and ensure the safety of vehicular traffic","Which of the following portable traffic signal controls reduces delay to vehicles by ensuring that the green time is adjusted automatically?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Vehicle Actuated (VA)","Manual (MAN)","Fixed time (FT)","All Red",1
"LO2: 2.5: Identify the circumstances in which mobile and short duration works would be applicable.","What type of work can be carried out at one or more intermittent stops, each lasting less than 60 minutes (30 minutes in Scotland)?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Short-duration static work","Emergency works","Mobile works","Minor works",1
"LO2: 2.5: Identify the circumstances in which mobile and short duration works would be applicable.","What type of work is carried out from a vehicle moving significantly slower than the general traffic?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Short-duration static works","Emergency works","Mobile works","Minor works",3
"LO2: 2.5: Identify the circumstances in which mobile and short duration works would be applicable.","When should mobile and short-duration static works be carried out?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"When HGVs and buses are diverted to alternative routes","During periods of low risk when there is good visibility","When the length of the works is 80 metres or less","When two-way traffic flow is no more than 400 vehicles per hour",2
"LO4: 4.1: Define the personal protective equipment required for signing, lighting and guarding","Which combination of Personal Protective Equipment (PPE) should be used when removing signs from a carriageway and loading them onto a stationary vehicle?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Safety helmet, high-visibility vest, safety footwear and eye protection","High-visibility clothing, safety footwear, safety gloves and eye protection","High-visibility clothing, helmet, safety gloves and safety footwear","Safety helmet, high-visibility clothing, ear defenders and safety footwear",3
"LO4: 4.1: Define the personal protective equipment required for signing, lighting and guarding","How should an employee determine the correct level of personal protective equipment (PPE) for signing, lighting and guarding activities?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Follow pre populated method statements","Carry out a site specific risk assessment","Mandate a standard selection of PPE","Follow the HSE guidance for standard PPE",2
"LO4: 4.1: Define the personal protective equipment required for signing, lighting and guarding","What is the most appropriate combination of personal protective equipment (PPE) when setting out signing, lighting and guarding?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"High-visibility clothing, safety helmet, safety gloves and safety footwear","Safety helmet, high-visibility clothing, safety footwear and eye protection","High-visibility clothing, safety footwear, safety gloves and eye protection","Safety helmet, high-visibility clothing, ear defenders and safety footwear",1
"LO4: 4.2: State how to control the movement of pedestrians, vehicles and plant","What area of the site layout should plant be operated and manoeuvred in?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Works area","Safety zone","Working space","Lead in taper",3
"LO4: 4.2: State how to control the movement of pedestrians, vehicles and plant","On a static site, what is the minimum clearance between a works vehicle and the works area on a 30mph road?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,2m,3m,4m,5m,1
"LO4: 4.2: State how to control the movement of pedestrians, vehicles and plant","What should be used to segregate pedestrians from any works?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Road traffic cones and rope","A barrier system incorporating a tapping rail","Plastic mesh mounted on road pins","Road traffic cones and pedestrian signs",2
"LO4: 4.3: Define the distances and dimensions to accommodate advance signing","What is the minimum size of signage permitted on single carriageway roads with a speed limit of 40mph?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,600mm,750mm,800mm,850mm,2
"LO4: 4.3: Define the distances and dimensions to accommodate advance signing","What determines the siting distance to the first sign on a single carriageway static site?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Duration of the work","Volume of traffic","Speed of road","Type of traffic",3
"LO4: 4.3: Define the distances and dimensions to accommodate advance signing","What is the minimum siting distance to the first sign on a single carriageway 50mph road?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,45m,110m,275m,450m,3
"LO4: 4.3: Define the distances and dimensions to accommodate advance signing","What is the minimum size of a temporary sign to use on a 50mph road?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,650mm,750mm,800mm,850mm,2
"LO4: 4.3: Define the distances and dimensions to accommodate advance signing","What is the minimum visibility distance to the first sign for a single carriageway with a speed limit of 50mph or more?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,60,65,70,75,4
"LO4: 4.3: Define the distances and dimensions to accommodate advance signing","When must the 'Road Works End' sign be used?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Where the site length exceeds 50m","Where visibility through the works is restricted","When instructed by the highway authority","On sites where the Stop Works signs are used",1
"LO4: 4.4: Define the criteria to accommodate pedestrian walkways, traffic lanes, safety zones","When working on a footway, what is the ideal width to leave for pedestrians?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,0.5m,1.0m,1.5m,2.0m.,3
"LO4: 4.4: Define the criteria to accommodate pedestrian walkways, traffic lanes, safety zones","What is the absolute minimum width of the shuttle lane for normal traffic using Stop and Go traffic control?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,2m,2.5m,3m,3.5m,3
"LO4: 4.4: Define the criteria to accommodate pedestrian walkways, traffic lanes, safety zones","What is the absolute minimum unobstructed width on an existing footway?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,0.5m,1m,1.5m,2m,2
"LO4: 4.4: Define the criteria to accommodate pedestrian walkways, traffic lanes, safety zones","What is the minimum sideways safety zone on a road with a maximum speed limit of 40mph?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,0.5m,1.2m,15m,30m,1
"LO4: 4.4: Define the criteria to accommodate pedestrian walkways, traffic lanes, safety zones","What is the main purpose of a safety zone?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"To protect pedestrians from the works","To protect site operatives from passing traffic","To allow for temporary traffic control to be used","To keep pedestrians at a safe distance from site vehicles",2
"LO4: 4.4: Define the criteria to accommodate pedestrian walkways, traffic lanes, safety zones","What is the minimum width of a temporary walkway in the carriageway in order for a visually impaired person being guided to pass safely?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"1.0 metres","1.2 metres","1.4 metres","1.6 metres",2
"LO4: 4.5: State the requirements for the installation and use of warning lights","What is the maximum permitted height of warning lights on a 40mph road?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"1.2 metres","1.3 metres","1.4 metres","1.5 metres",4
"LO4: 4.5: State the requirements for the installation and use of warning lights","Which of the following speed limits are flashing warning lights not permitted to be used where the road is street lit?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,20mph,30mph,40mph,50mph,4
"LO4: 4.5: State the requirements for the installation and use of warning lights","What is the maximum permitted height of warning lights on a 50mph road?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"1.2 metres","1.3 metres","1.4 metres","1.5 metres",1
"LO4: 4.6: Define how signs, barriers, footway boards, ramps and road plates are securely installed","What is the recommended method to secure road signs?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Use a sign with built-in weights","Use a sign with barrels or kerbstones","Use a sign with ballast or cross bracing","Use a sign with road pins or heaped spoil",1
"LO4: 4.6: Define how signs, barriers, footway boards, ramps and road plates are securely installed","How should pedestrian barriers be protected from continual unauthorised alterations and separation?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Use barriers with enhanced guarding","Use ballast or cross bracing to secure","Use vandal proof paint to protect equipment","Use clamps or ties that require a tool for removal",4
"LO4: 4.6: Define how signs, barriers, footway boards, ramps and road plates are securely installed","What additional measures could be used to securely install pedestrian barriers in strong winds?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Use enhanced guarding","Use road pins or heaped spoil","Use ballast or cross-bracing","Use barrels or kerbstones",3
"LO4: 4.7: State how to check that equipment is fit for purpose","What is the minimum distance the lower edge of all signs should be from ground level?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,200mm,300mm,400mm,500mm,2
"LO4: 4.7: State how to check that equipment is fit for purpose","What standard must the size, shape and style of signs and traffic cones comply with?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Red book","Pink book","TSRGD or TSR (NI)","TAL 2/11 and 3/11",3
"LO4: 4.7: State how to check that equipment is fit for purpose","How often should equipment be checked at an attended site to ensure it is not damaged or dirty?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"At the end of every shift with a thorough inspection once a week","An inspection should be carried out once a day by a competent person","The timing of checks should be determined by a risk assessment","At the start of work, regularly during work and before you leave site",4
"LO4: 4.8: Specify the sequences for installing, positioning and removing equipment.","What sign should be set up first when installing advanced signing?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Keep right","Road works ahead","Road narrows ahead","Information board",2
"LO4: 4.8: Specify the sequences for installing, positioning and removing equipment.","Which sign should be placed immediately after the Road Works sign when using a Give and Take method of control?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Traffic Signals Ahead","Traffic Control Ahead","Road Narrows with Single File Traffic supplementary plate","Road Narrows without Single File Traffic supplementary plate",3
"LO4: 4.8: Specify the sequences for installing, positioning and removing equipment.","Which sign should be placed immediately after the â€š'Road Narrowsâ€š' sign when using a â€š'Stop and Goâ€š' method of control?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"When Stop Sign Shows Wait Here","Traffic Control Ahead","Road Narrows","Direction Arrow",1
"LO6: 6.1: Define the checks carried out to ensure that signals are operating correctly","What must be on site in the event that temporary traffic signals fail?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Priority signs","Stop and go boards","Stop works signs","Additional traffic cones",2
"LO6: 6.1: Define the checks carried out to ensure that signals are operating correctly","Which mode on temporary traffic signals can be used where one of the vehicle detectors has failed?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Switch off","Fixed time","All red","Vehicle actuation",2
"LO6: 6.1: Define the checks carried out to ensure that signals are operating correctly","What is the possible cause of portable traffic signals not changing after one stream of traffic has passed, even though vehicles are waiting?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Low vehicular density","All-Red setting too long","Switched to Fixed Time","Faulty detector (MVD)",4
"LO6: 6.2: State how the site location requirements affect the positioning of signals","What is the maximum site length for using temporary traffic signals?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,100m,200m,300m,400m,3
"LO6: 6.2: State how the site location requirements affect the positioning of signals","What action should be taken where drivers at the â€š'Wait Hereâ€š' sign have poor visibility of portable traffic signals?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Use convoy working to control traffic","Use stop and go boards alternatively","Use additional signs to control traffic","Use an additional signal head on the approach",4
"LO6: 6.2: State how the site location requirements affect the positioning of signals","Within what distance must portable traffic signals not be used near a railway level crossing with wig-wag traffic signals?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"50 metres","75 metres.","100 metres","125 metres",1
"LO6: 6.3: Specify the correct sequence for installing, positioning, dismantling and removing signals","What action should be taken to keep traffic disruption to a minimum when installing and commissioning portable traffic signals?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Signs and equipment should be placed ready for use and signals tested","Use stop and go boards until portable traffic signals are installed","Install signals first on all red setting until advance signs are in place","Use priority signs until portable traffic signals are installed",1
"LO6: 6.3: Specify the correct sequence for installing, positioning, dismantling and removing signals","Where can you find information on the installation and set-up of portable traffic controls?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"The Pink Book","The Red Book","TSM Chapter 8","TSRGD or TSR (NI)",1
"LO6: 6.3: Specify the correct sequence for installing, positioning, dismantling and removing signals","Why must you have stop and go boards on site when installing, positioning, maintaining and removing portable traffic signals?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"To allow for the installation of signs and signals","In case traffic signals have no all red function","To allow the operatives to adjust the settings","In case the portable traffic signals breakdown",4
"LO6: 6.4:  Define how the traffic conditions affect the adjustment of signal controls and timings","When using temporary traffic lights, what is the All Red time for a site length of 230m?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"15 seconds","20 seconds","25 seconds","30 seconds",3
"LO6: 6.4:  Define how the traffic conditions affect the adjustment of signal controls and timings","When using temporary traffic lights what alteration to the timings should be made where the last vehicle does not leave the shuttle lane at the start of the next green?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Increase the all red periods","Decrease the maximum green time","Decrease the all red periods","Increase both maximum green and all red periods",1
"LO6: 6.4:  Define how the traffic conditions affect the adjustment of signal controls and timings","What action should be taken where substantial queues begin to form and vehicles take more than one green period to get through the site?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Switch the signal setting to manual (MAN)","Adjust the all-red setting incrementally","Adjust the maximum green setting incrementally","Switch the signal setting to fixed time (FT)",3
"LO6: 6.5: Specify the appropriate site conditions","What is the maximum coned length of a site when using Stop and Go traffic control where the traffic count is 63 vehicles counted over a 3 minute period?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"100 metres","200 metres","300 metres","400 metres",2
"LO6: 6.5: Specify the appropriate site conditions","When using priority signs to control traffic on a 40mph road, what distance should the required visibility be?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"50 metres","60 metres","70 metres","80 metres",3
"LO6: 6.5: Specify the appropriate site conditions","What is the maximum speed limit of a road or street when controlling traffic using the â€š'Give and Takeâ€š' method?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,30mph,40mph,50mph,60mph,1
